no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,1,2,0,0,0,57,2018,6,10,0,0,0,0,90.67,1,0
2,0,1,4,1,0,0,148,2018,8,22,1,0,0,0,90.9,0,1
1,0,0,2,2,0,0,273,2017,7,17,0,0,0,0,87.0,0,0
2,0,0,3,1,0,0,2,2018,12,20,1,0,0,0,79.5,1,0
2,2,0,4,0,0,3,82,2018,3,23,1,0,0,0,158.83,0,0
3,0,2,1,0,0,0,205,2018,5,29,0,0,0,0,125.0,0,1
2,0,1,2,0,0,0,159,2018,9,19,0,0,0,0,144.0,0,1
2,0,0,4,1,0,0,225,2018,10,5,1,0,0,0,92.65,1,1
2,0,2,2,1,0,0,152,2018,7,1,1,0,0,0,80.75,1,0
2,0,0,1,0,0,0,31,2017,10,2,1,0,0,0,111.6,1,1
2,0,1,1,1,1,0,4,2018,8,8,1,0,0,0,168.0,2,0
2,0,0,5,0,0,0,140,2017,12,29,0,0,0,0,70.0,0,0
2,0,2,2,0,0,0,56,2017,9,25,0,0,0,0,185.0,0,0
2,2,0,1,0,0,3,20,2018,8,6,1,0,0,0,231.0,1,0
2,0,0,1,1,0,0,31,2018,3,17,1,0,0,0,71.1,1,0
3,1,0,1,0,0,3,31,2018,8,25,1,0,0,0,225.4,1,0
2,0,2,5,0,0,1,114,2018,4,30,1,0,0,0,106.74,1,1
2,0,2,4,0,0,1,25,2018,6,26,1,0,0,0,113.31,1,0
2,0,0,1,1,0,0,5,2018,1,7,1,0,0,0,75.0,0,0
2,0,0,2,1,0,0,18,2017,9,4,1,0,0,0,96.0,1,0
2,0,0,2,1,0,0,0,2018,4,1,1,0,0,0,75.42,0,0
1,0,0,2,0,0,0,102,2018,12,6,1,0,0,0,86.4,2,1
2,0,1,2,0,0,0,14,2018,9,2,1,0,0,0,145.67,2,0
1,0,0,1,0,0,0,10,2018,11,10,1,0,0,0,120.0,0,1
2,0,0,2,0,0,0,88,2018,10,7,2,0,0,0,90.0,1,0
2,0,0,3,0,0,1,27,2018,4,12,1,0,0,0,126.0,1,0
2,0,2,7,0,0,0,193,2018,7,13,1,0,0,0,90.95,0,1
2,0,1,2,0,0,0,59,2018,8,5,1,0,0,0,104.64,1,0
2,0,1,0,1,0,0,29,2018,8,8,1,0,0,0,139.0,1,0
1,0,1,1,2,0,0,301,2018,7,30,0,0,0,0,90.0,0,0
2,0,2,3,0,0,0,303,2018,8,19,0,0,0,0,78.0,0,1
1,0,0,3,0,0,0,104,2018,5,4,1,0,0,0,110.1,1,0
2,0,1,2,0,0,0,25,2017,12,4,1,0,0,0,69.0,0,0
2,0,0,3,0,0,0,8,2017,12,15,0,0,0,0,58.0,1,0
2,0,2,3,0,0,0,235,2018,8,12,1,0,0,0,90.95,1,1
3,0,1,2,0,1,1,125,2018,8,12,1,0,0,0,155.7,0,0
1,0,0,3,0,0,0,46,2018,3,3,1,0,0,0,73.9,0,1
2,0,1,2,2,0,0,161,2018,3,25,0,0,0,0,130.0,0,1
2,0,3,6,1,0,0,314,2018,12,26,1,0,0,0,68.66,0,1
2,0,1,2,0,0,0,305,2018,11,4,0,0,0,0,89.0,0,1
2,1,2,1,0,0,0,3,2017,12,5,1,0,0,0,120.0,2,0
2,0,2,3,0,0,1,19,2018,4,14,1,0,0,0,131.6,0,1
2,0,0,1,1,0,0,252,2018,9,16,1,0,0,0,95.4,2,1
2,0,0,2,0,0,0,36,2017,11,13,1,0,0,0,96.3,1,0
3,0,1,5,0,0,1,7,2018,6,28,1,0,0,0,182.0,0,0
1,0,0,2,0,0,0,37,2018,9,8,0,0,0,0,90.0,0,0
2,0,1,3,1,0,0,51,2018,3,10,1,0,0,0,63.75,1,0
2,0,0,3,0,0,0,162,2017,9,17,0,0,0,0,70.0,0,0
2,0,2,1,2,0,0,145,2017,8,29,0,0,0,0,94.5,0,0
2,0,2,3,0,0,0,23,2018,8,28,1,0,0,0,123.8,0,1
2,0,2,3,0,0,2,41,2018,4,30,1,0,0,0,127.83,2,0
2,0,2,0,0,0,1,88,2018,10,2,1,0,0,0,132.3,1,1
3,0,1,4,0,0,3,217,2018,8,8,1,0,0,0,158.95,2,1
2,0,1,3,0,0,0,290,2018,12,1,1,0,0,0,73.95,0,1
2,0,1,0,1,0,0,60,2018,4,17,1,0,0,0,94.5,0,0
2,0,0,1,2,0,0,83,2017,9,30,0,0,0,0,112.2,0,0
2,0,1,3,1,0,0,20,2018,8,29,1,0,0,0,112.25,1,0
2,0,0,2,0,0,0,19,2018,6,22,2,0,0,0,100.0,0,1
2,2,1,1,0,0,3,35,2018,5,16,1,0,0,0,179.01,0,1
2,0,1,2,2,1,0,5,2018,10,28,1,0,0,0,200.33,2,0
2,0,1,2,0,0,0,273,2018,5,13,0,0,0,0,95.0,0,1
3,0,2,3,0,0,1,133,2018,11,27,1,0,0,0,115.6,0,1
2,0,0,3,0,0,0,58,2018,11,23,0,0,0,0,75.0,0,0
2,0,1,2,0,0,1,21,2018,10,10,0,0,0,0,107.0,0,0
3,0,0,4,0,0,1,73,2018,7,6,1,0,0,0,149.4,0,1
2,0,0,2,0,0,0,24,2018,11,18,4,0,0,0,0.0,1,0
3,0,2,3,2,0,1,111,2018,7,23,1,0,0,0,189.0,1,0
2,0,0,2,0,0,0,101,2018,6,17,0,0,0,0,95.88,0,1
1,2,0,1,0,0,0,143,2018,7,13,1,0,0,0,106.03,0,0
2,0,0,3,1,0,0,78,2018,9,1,1,0,0,0,122.1,0,1
1,0,2,4,0,0,0,69,2018,6,12,0,0,0,0,120.0,0,1
2,0,1,2,0,0,1,75,2017,12,7,0,0,0,0,60.0,0,0
1,0,1,0,0,0,0,21,2018,11,21,2,1,1,1,67.0,0,0
2,0,0,3,0,0,1,22,2017,10,13,0,0,0,0,75.0,0,0
2,0,2,2,0,0,0,11,2018,7,24,1,0,0,0,110.46,1,0
1,0,1,3,0,0,0,28,2018,12,1,2,0,0,0,75.0,1,0
2,0,1,2,1,0,0,9,2018,12,16,1,0,0,0,78.0,0,0
2,0,0,2,0,0,0,88,2017,12,4,4,0,0,0,0.0,0,0
3,0,2,3,2,0,0,165,2018,8,19,1,0,0,0,180.2,0,1
2,0,0,2,0,0,0,18,2018,11,1,1,0,0,0,120.0,1,0
2,0,1,2,0,0,0,159,2018,9,19,0,0,0,0,144.0,1,1
2,0,1,2,0,0,1,130,2018,3,25,1,0,0,0,123.67,1,0
2,0,1,3,0,0,0,250,2018,9,26,0,0,0,0,95.0,0,1
2,0,0,1,0,1,0,31,2018,2,5,1,0,0,0,89.3,1,0
2,0,0,2,0,0,0,68,2017,9,29,0,0,0,0,65.0,0,0
2,0,1,3,0,0,0,127,2018,4,28,0,0,0,0,90.0,0,0
2,0,2,1,0,0,0,83,2018,12,18,0,0,0,0,75.0,0,0
1,0,0,2,0,0,0,192,2018,6,24,0,0,0,0,95.0,0,0
2,0,1,2,0,0,0,125,2018,4,18,0,0,0,0,71.0,1,0
2,0,0,1,0,0,0,1,2017,9,26,1,0,0,0,180.0,0,0
2,0,2,3,0,0,0,205,2018,7,22,1,0,0,0,90.95,0,1
2,0,1,1,0,0,0,3,2018,8,22,2,0,0,0,100.0,0,0
1,0,0,2,0,0,0,32,2017,11,20,0,0,0,0,73.0,0,0
2,0,0,3,1,0,0,45,2018,2,24,1,0,0,0,67.5,1,1
2,0,2,1,0,0,0,221,2017,10,17,0,0,0,0,65.0,1,0
1,0,1,1,1,0,0,96,2018,10,3,1,0,0,0,108.0,0,1
2,0,1,2,0,0,0,87,2018,10,31,1,0,0,0,69.53,2,0
3,0,2,3,0,0,1,14,2018,5,8,1,0,0,0,159.0,0,1
2,0,0,1,0,0,1,1,2018,5,20,1,0,0,0,176.0,1,0
2,0,2,3,0,0,0,25,2017,11,22,0,0,0,0,65.0,0,0
1,0,0,1,0,0,0,5,2018,1,20,0,0,0,0,65.8,0,0
1,0,2,2,0,0,0,31,2018,11,11,1,0,0,0,84.15,2,0
3,0,1,3,0,0,1,100,2018,8,25,1,0,0,0,150.3,1,0
3,0,2,4,0,0,0,126,2018,7,3,1,0,0,0,131.47,0,0
2,0,0,4,0,0,3,4,2018,4,20,1,0,0,0,143.38,2,0
2,1,2,5,0,0,0,162,2018,12,26,1,0,0,0,158.56,0,0
2,0,1,2,1,0,0,42,2018,3,25,0,0,0,0,62.8,0,0
2,0,2,2,0,0,0,134,2017,12,4,0,0,0,0,65.0,0,0
2,0,1,3,0,0,0,146,2018,6,20,1,0,0,0,91.98,0,0
2,0,2,1,0,0,1,105,2018,4,17,1,0,0,0,96.3,0,0
1,0,1,0,1,0,0,28,2018,9,26,1,0,0,0,104.0,1,0
2,0,1,0,0,0,0,141,2017,9,20,0,0,0,0,90.0,0,1
2,2,1,5,0,0,3,14,2017,9,7,1,0,0,0,166.0,3,0
3,0,0,3,0,0,1,132,2018,8,2,1,0,0,0,137.7,0,1
2,0,0,1,0,0,0,67,2017,11,13,1,0,0,0,72.25,2,0
2,0,0,3,0,0,1,205,2018,12,1,0,0,0,0,69.36,0,0
2,0,0,1,0,0,0,8,2018,11,5,0,0,0,0,130.0,0,0
2,0,0,2,0,0,0,22,2018,5,20,0,0,0,0,140.0,0,0
2,0,1,2,0,0,0,90,2018,3,18,1,0,0,0,78.3,0,0
2,0,1,3,0,0,0,3,2018,8,29,1,0,0,0,146.5,2,0
2,2,0,1,0,0,3,0,2017,10,31,4,0,0,0,0.0,0,0
1,0,2,1,1,0,0,67,2017,12,5,1,0,0,0,95.4,1,0
2,0,2,1,0,0,2,54,2018,10,29,0,0,0,0,95.0,1,0
3,0,0,4,0,0,1,102,2018,8,24,1,0,0,0,150.3,0,1
3,0,2,1,0,0,1,67,2018,4,3,1,0,0,0,128.7,1,1
2,0,0,3,0,0,0,308,2018,11,23,1,0,0,0,78.3,1,1
2,0,0,2,1,0,0,35,2018,3,11,1,0,0,0,71.1,0,0
1,0,2,3,0,0,0,1,2018,6,26,1,0,0,0,128.6,0,0
2,0,0,2,0,0,0,22,2017,10,1,1,0,0,0,88.17,1,0
2,0,2,4,0,0,0,90,2018,6,26,1,0,0,0,108.3,0,0
2,0,0,1,0,0,1,31,2018,6,16,1,0,0,0,132.6,0,1
2,0,0,3,0,0,0,41,2018,3,16,0,0,0,0,85.0,0,0
3,0,2,4,0,0,1,79,2018,7,24,1,0,0,0,139.5,4,0
2,0,2,0,0,0,1,7,2018,4,10,1,0,0,0,124.0,1,0
2,0,1,5,0,0,1,123,2018,9,20,1,0,0,0,143.1,1,1
2,0,2,1,0,0,1,18,2018,2,7,1,0,0,0,82.8,1,0
1,0,2,7,0,0,0,62,2017,7,15,1,0,0,0,68.0,1,1
2,0,0,1,0,0,0,42,2018,1,16,1,0,0,0,80.3,1,0
2,1,2,4,0,0,0,187,2018,8,25,1,0,0,0,90.95,1,0
1,0,0,1,0,0,0,14,2017,10,15,0,0,0,0,100.0,0,0
2,0,1,0,0,0,0,22,2018,3,20,1,0,0,0,91.0,1,0
2,0,1,3,0,0,0,115,2018,3,28,0,0,0,0,58.0,0,0
1,0,1,2,0,0,0,118,2018,6,6,0,0,0,0,110.0,0,0
2,0,1,1,0,0,1,175,2018,9,17,1,0,0,0,140.4,1,1
2,0,1,2,1,0,0,63,2018,8,15,0,0,0,0,63.75,0,0
2,0,0,3,0,0,1,81,2018,3,3,1,0,0,0,96.3,0,1
1,0,0,1,0,0,0,0,2018,3,24,0,0,0,0,75.0,0,0
2,0,0,1,0,0,0,30,2018,6,22,1,0,0,0,126.9,0,1
2,0,0,1,2,0,0,83,2017,9,30,0,0,0,0,112.2,0,0
2,0,2,2,0,0,0,60,2018,6,26,1,0,0,0,108.9,1,1
2,0,2,2,0,0,1,71,2018,5,1,1,0,0,0,132.6,0,1
2,0,0,4,0,0,0,92,2017,10,7,0,0,0,0,70.0,0,0
2,0,2,0,0,1,0,223,2017,10,4,1,0,0,0,89.25,2,0
2,0,0,3,0,0,0,276,2018,9,22,0,0,0,0,116.33,0,1
2,0,1,3,0,0,0,23,2018,9,15,1,0,0,0,156.5,0,1
2,0,0,3,0,0,0,12,2018,5,31,1,0,0,0,111.35,0,1
2,0,0,4,0,0,0,7,2018,7,26,0,0,0,0,85.0,0,0
2,0,0,1,2,0,0,40,2018,7,26,0,0,0,0,125.0,1,0
2,0,0,2,0,0,0,14,2018,1,27,1,0,0,0,81.9,1,0
2,0,1,2,0,0,2,224,2017,10,2,0,0,0,0,65.0,1,0
2,0,0,2,1,0,0,12,2018,9,14,2,0,0,0,95.0,1,0
2,1,0,5,0,0,0,132,2018,11,1,1,0,0,0,106.2,0,1
1,0,1,2,0,0,0,37,2017,11,6,1,0,0,0,37.33,0,1
1,0,2,0,2,0,0,386,2018,10,23,0,0,0,0,90.0,1,1
1,0,0,3,0,0,1,56,2018,6,1,1,0,0,0,140.4,0,0
2,0,2,3,0,0,0,268,2018,10,9,0,0,0,0,80.75,0,0
2,0,0,1,2,0,0,1,2017,9,4,0,0,0,0,108.0,0,0
2,1,2,1,0,0,0,70,2018,12,25,1,0,0,0,109.8,2,0
1,0,1,1,1,0,0,89,2018,8,29,1,0,0,0,116.1,0,0
2,1,2,5,0,0,0,188,2018,8,1,1,0,0,0,123.75,1,1
2,0,2,3,0,0,1,37,2018,2,12,1,0,0,0,87.3,0,0
3,0,2,2,0,0,0,19,2018,3,26,1,0,0,0,172.0,0,1
2,0,0,3,0,0,0,35,2018,9,27,1,0,0,0,108.4,0,0
2,0,0,2,0,0,0,79,2018,6,16,0,0,0,0,80.75,0,0
3,0,1,2,0,0,1,141,2018,8,22,1,0,0,0,137.7,0,1
1,0,2,4,0,0,0,69,2018,6,12,0,0,0,0,120.0,0,1
2,0,0,4,1,0,0,20,2018,2,10,1,0,0,0,63.2,0,1
2,0,1,3,0,0,0,21,2018,12,19,1,0,0,0,88.4,0,0
2,0,0,4,1,0,0,12,2017,9,22,1,0,0,0,164.0,1,0
2,0,2,1,0,0,0,26,2017,10,4,1,0,0,0,80.85,1,0
2,0,0,1,0,0,0,208,2018,9,1,1,0,0,0,96.3,1,1
1,0,1,0,0,0,0,1,2017,9,7,1,0,0,0,133.0,1,0
2,0,0,2,2,0,0,39,2017,8,14,0,0,0,0,109.0,0,0
1,0,0,1,0,0,0,4,2018,8,2,1,0,0,0,121.0,1,0
2,1,0,2,2,1,0,41,2018,7,19,1,0,0,0,161.1,2,0
2,0,3,6,0,0,0,109,2018,7,18,1,0,0,0,72.25,0,1
1,0,0,3,0,0,0,71,2018,6,14,0,0,0,0,120.0,0,0
1,0,1,1,2,0,1,71,2018,10,22,0,0,0,0,126.5,0,0
1,0,0,2,0,0,0,41,2018,10,26,1,0,0,0,123.5,0,0
2,0,0,4,0,0,0,155,2018,8,9,1,0,0,0,83.12,1,0
2,0,3,6,0,0,0,87,2018,7,11,0,0,0,0,72.25,0,0
2,0,0,2,2,0,0,256,2018,6,15,1,0,0,0,112.0,1,1
2,0,0,2,2,0,0,39,2017,8,14,0,0,0,0,101.5,0,0
2,2,1,4,0,0,5,36,2018,7,27,1,0,0,0,278.9,0,1
2,0,0,2,1,0,0,131,2018,8,5,1,0,0,0,76.23,2,0
2,2,2,3,2,0,3,5,2018,3,27,1,0,0,0,254.0,0,1
1,0,2,1,0,0,0,116,2018,2,28,0,0,0,0,61.0,0,1
2,0,0,2,0,0,0,185,2018,5,6,1,0,0,0,81.77,2,1
2,0,0,1,0,0,1,28,2018,5,28,1,0,0,0,156.0,0,0
1,0,2,0,0,0,0,20,2018,12,4,2,0,0,0,67.0,0,0
2,0,2,4,0,0,1,33,2018,4,3,1,0,0,0,135.9,1,0
2,0,1,2,0,0,1,24,2018,9,19,0,0,0,0,107.0,0,0
2,0,1,4,2,0,1,97,2018,12,26,1,0,0,0,143.14,2,0
4,0,2,1,0,0,5,21,2018,7,17,1,0,0,0,299.33,0,1
2,0,0,1,1,0,0,2,2018,6,18,1,0,0,0,129.0,1,0
2,0,0,2,2,0,0,74,2017,9,18,0,0,0,0,109.0,0,0
1,0,0,2,0,0,0,192,2018,6,24,0,0,0,0,95.0,0,0
2,0,1,1,0,0,0,6,2018,5,23,1,0,0,0,140.0,1,0
2,0,0,1,1,0,0,1,2018,2,26,1,0,0,0,79.0,0,0
1,0,1,2,0,0,0,32,2018,2,5,1,0,0,0,72.9,0,1
2,0,2,4,0,0,1,53,2018,9,1,1,0,0,0,121.35,1,0
2,0,1,0,1,0,0,58,2018,9,5,1,0,0,0,99.0,3,0
3,0,5,10,0,0,1,204,2018,8,15,1,0,0,0,123.82,3,0
1,0,0,1,0,0,0,4,2018,7,5,4,1,0,28,0.0,4,0
1,0,0,3,0,0,0,71,2018,6,14,0,0,0,0,120.0,0,0
2,0,1,2,0,0,0,193,2018,6,20,0,0,0,0,120.0,0,1
2,1,2,5,0,0,0,97,2018,12,12,1,0,0,0,103.7,1,0
2,0,1,2,0,0,0,12,2018,11,25,1,0,0,0,108.67,0,1
1,0,0,2,0,0,0,13,2018,11,8,2,0,0,0,170.0,0,0
2,0,2,0,0,0,0,36,2018,8,14,1,0,0,0,135.9,1,0
1,0,1,1,0,0,1,3,2017,9,19,1,0,0,0,177.5,1,0
1,0,0,2,0,0,0,103,2018,4,19,0,0,0,0,115.0,0,1
2,0,1,0,0,0,0,0,2017,12,7,4,0,0,0,0.0,1,0
2,2,0,3,0,0,3,34,2018,12,8,1,0,0,0,174.0,1,0
2,0,1,1,2,0,0,88,2017,10,5,0,0,0,0,112.2,0,0
1,0,0,3,0,0,0,276,2018,9,22,0,0,0,0,95.67,0,0
2,0,1,4,0,0,2,187,2018,9,12,0,0,0,0,80.75,1,0
2,0,0,3,0,0,0,80,2018,11,10,1,0,0,0,120.9,2,0
2,0,1,2,0,0,0,65,2018,8,12,0,0,0,0,85.0,1,0
3,0,0,4,0,0,0,15,2017,10,20,1,0,0,0,111.6,1,0
2,0,1,3,0,0,0,78,2018,12,8,1,0,0,0,88.4,1,0
2,0,1,3,0,0,0,75,2018,3,17,0,0,0,0,80.0,0,1
1,0,0,2,0,0,0,192,2018,6,24,0,0,0,0,95.0,0,0
1,0,0,1,0,0,0,96,2018,4,8,1,0,0,0,90.9,1,1
2,0,0,2,0,0,1,75,2018,5,26,1,0,0,0,140.4,0,1
2,0,2,2,0,0,1,32,2017,12,27,1,0,0,0,65.55,0,0
3,0,2,2,0,0,1,47,2018,3,18,1,0,0,0,124.1,1,1
3,0,1,3,0,0,1,246,2018,12,26,1,0,0,0,104.55,0,0
2,0,1,2,0,0,0,13,2017,8,24,1,0,0,0,90.0,2,0
2,0,0,1,2,0,0,83,2017,9,30,0,0,0,0,112.2,0,0
2,0,0,4,2,0,0,323,2018,5,17,1,0,0,0,112.0,1,1
2,0,1,4,2,0,0,10,2018,4,25,1,0,0,0,174.0,1,1
1,0,0,2,0,0,1,123,2018,5,6,1,0,0,0,126.3,1,0
3,0,2,2,0,0,0,82,2018,7,3,1,0,0,0,112.96,1,0
2,0,1,2,0,0,0,233,2018,10,14,0,0,0,0,90.0,0,1
3,0,0,4,0,0,1,36,2018,6,29,1,0,0,0,150.3,0,1
1,0,2,3,0,0,0,27,2018,11,6,1,0,0,0,143.3,1,0
1,0,0,2,0,0,0,181,2018,10,11,0,0,0,0,120.0,0,1
2,0,2,2,0,0,0,179,2018,7,17,1,0,0,0,90.95,1,0
2,0,1,4,0,0,1,74,2018,5,2,0,0,0,0,90.95,0,0
2,0,2,5,2,0,0,120,2017,8,20,0,0,0,0,88.38,2,0
2,0,0,3,0,0,0,64,2018,7,26,1,0,0,0,114.3,1,0
2,0,2,1,2,0,0,131,2017,8,15,0,0,0,0,94.5,0,0
2,0,0,2,2,0,0,257,2017,7,1,0,0,0,0,101.5,0,1
1,0,0,2,0,0,0,7,2017,9,16,0,0,0,0,113.6,0,0
2,0,2,0,2,0,0,275,2018,4,17,0,0,0,0,110.0,0,1
1,0,0,1,1,0,0,28,2018,11,2,1,0,0,0,110.0,0,1
1,0,0,2,0,0,0,32,2017,11,20,0,0,0,0,73.0,0,0
2,0,0,3,0,0,0,12,2018,2,23,1,0,0,0,72.07,1,0
2,1,2,2,0,0,0,42,2018,12,31,1,0,0,0,102.0,1,0
1,0,0,2,0,0,0,192,2018,6,24,0,0,0,0,95.0,0,0
2,0,2,3,0,0,0,25,2017,11,22,0,0,0,0,65.0,0,0
1,0,0,2,2,0,1,80,2017,10,9,0,0,0,0,108.0,0,0
2,2,0,4,0,0,3,0,2017,9,8,1,0,0,0,195.0,1,0
2,2,0,4,0,0,3,0,2018,5,3,1,0,0,0,221.0,1,0
2,0,4,10,0,0,1,146,2018,7,30,1,0,0,0,117.66,1,1
2,0,1,3,0,0,0,26,2018,9,5,1,0,0,0,127.2,0,1
2,0,0,3,0,0,0,12,2017,8,5,2,0,0,0,65.0,0,0
2,0,2,0,2,0,0,75,2018,10,30,0,0,0,0,105.0,0,1
2,0,0,1,1,0,0,30,2018,8,19,1,0,0,0,125.1,1,0
2,0,1,2,0,0,1,46,2017,11,13,0,0,0,0,60.0,0,0
2,0,0,3,0,0,0,10,2018,11,3,1,0,0,0,136.67,2,0
2,0,1,1,1,0,0,33,2018,5,9,1,0,0,0,104.49,0,1
1,0,0,1,0,0,0,28,2018,2,4,1,0,0,0,81.0,0,1
2,0,0,1,0,0,1,62,2018,4,22,1,0,0,0,91.48,1,0
2,0,1,3,0,0,0,285,2018,10,3,0,0,0,0,100.0,0,1
2,0,2,1,1,0,0,17,2018,10,9,0,0,0,0,85.0,0,0
2,1,0,2,0,0,3,2,2018,11,25,0,0,0,0,144.8,0,0
2,0,0,2,2,0,0,346,2018,9,13,0,0,0,0,115.0,1,1
2,0,1,1,0,1,0,0,2018,5,23,1,0,0,0,145.85,0,0
1,0,0,1,1,0,0,0,2018,9,2,1,0,0,0,149.0,0,0
3,0,1,3,0,0,1,319,2018,12,29,1,0,0,0,113.9,2,1
2,0,0,3,0,0,0,192,2018,8,9,1,0,0,0,94.5,1,1
1,0,1,0,0,0,0,0,2018,6,27,0,0,0,0,106.4,0,0
2,0,1,2,0,0,0,163,2018,9,12,1,0,0,0,126.9,2,1
2,0,0,2,0,0,0,308,2018,11,25,0,0,0,0,52.0,0,1
2,0,2,1,0,0,0,26,2018,6,11,0,0,0,0,95.0,0,0
1,0,0,1,0,0,1,14,2018,9,22,1,0,0,0,184.0,2,0
2,0,1,4,0,0,0,117,2018,7,27,0,0,0,0,72.25,1,0
2,0,0,3,1,0,0,122,2018,6,9,1,0,0,0,116.1,0,1
2,0,0,1,0,0,0,27,2018,6,9,0,0,0,0,120.0,0,0
3,0,2,4,0,0,1,52,2018,8,26,1,0,0,0,150.9,0,0
2,0,0,3,0,0,0,37,2018,10,13,0,0,0,0,105.0,0,0
2,0,2,0,1,0,0,114,2018,6,26,1,0,0,0,85.5,1,0
2,0,2,1,0,0,0,48,2018,2,27,1,0,0,0,86.3,1,0
2,0,2,1,1,0,0,331,2018,12,31,1,0,0,0,75.9,0,1
1,0,1,0,0,0,0,110,2018,10,9,0,0,0,0,120.0,0,1
1,0,0,1,0,1,0,7,2018,11,9,2,1,0,2,67.0,1,0
2,0,1,3,0,0,0,322,2018,5,19,0,0,0,0,80.0,0,1
2,0,2,1,0,0,0,68,2018,1,2,0,1,1,0,63.0,1,0
1,0,0,2,0,0,0,188,2018,6,15,0,0,0,0,130.0,0,1
2,0,1,1,0,0,1,0,2018,2,13,1,0,0,0,106.0,0,1
2,0,1,1,0,0,0,5,2018,12,10,1,0,0,0,107.5,1,0
2,0,0,3,0,0,0,52,2018,12,29,1,0,0,0,122.4,1,0
2,1,1,2,0,1,0,118,2018,8,15,1,0,0,0,139.5,1,0
2,0,2,5,0,0,0,204,2018,8,18,1,0,0,0,94.59,1,1
2,0,1,1,0,0,1,77,2018,4,25,1,0,0,0,109.8,1,0
2,0,2,7,1,0,0,120,2018,5,31,1,0,0,0,109.65,1,1
2,0,1,2,0,0,1,26,2018,5,20,1,0,0,0,158.33,0,1
2,0,2,2,0,0,1,16,2018,5,29,1,0,0,0,111.35,2,0
1,0,0,3,0,0,0,335,2018,10,13,0,0,0,0,80.0,0,0
2,0,2,5,2,0,0,277,2018,9,5,0,0,0,0,89.14,1,0
2,0,1,3,0,0,0,37,2018,3,7,1,0,0,0,83.9,1,0
2,0,0,2,0,0,0,315,2018,12,2,0,0,0,0,52.0,0,0
2,0,0,0,1,0,0,19,2017,12,16,1,0,0,0,0.0,0,0
2,0,0,1,0,0,0,34,2018,2,13,1,0,0,0,78.3,1,0
1,0,0,1,1,0,0,37,2018,5,13,1,0,0,0,116.1,0,0
2,0,0,3,0,0,0,52,2018,7,27,1,0,0,0,135.9,0,1
2,0,2,1,0,0,0,205,2018,5,29,0,0,0,0,90.0,0,1
3,0,0,1,0,0,0,182,2018,7,28,1,0,0,0,128.7,2,1
2,0,2,7,0,0,0,199,2017,10,1,1,0,0,0,94.5,0,1
2,1,0,4,1,0,0,3,2018,10,26,1,0,0,0,109.1,2,0
3,0,2,8,0,0,1,150,2018,6,28,1,0,0,0,125.8,0,1
2,0,1,2,0,0,0,14,2018,11,18,1,0,0,0,107.67,1,0
1,0,0,2,0,0,0,64,2018,5,17,2,0,0,0,130.0,0,0
2,0,0,3,0,0,1,47,2018,9,1,1,0,0,0,123.3,2,0
2,0,2,2,0,0,0,129,2018,5,13,0,0,0,0,80.75,0,0
1,0,0,2,2,0,0,74,2017,9,18,0,0,0,0,80.0,0,0
2,0,0,3,0,0,0,76,2017,7,7,1,0,0,0,76.5,1,1
2,0,1,2,0,0,0,121,2018,6,24,0,0,0,0,90.0,0,1
1,0,0,1,0,0,0,1,2017,7,30,4,0,0,0,0.0,1,0
2,0,2,4,1,0,0,79,2018,6,16,1,0,0,0,120.6,0,0
2,0,0,2,0,0,0,7,2017,9,22,1,0,0,0,126.0,2,0
3,0,2,8,0,0,1,39,2018,12,8,1,0,0,0,130.9,2,0
1,0,0,1,0,0,0,12,2018,4,19,1,0,0,0,95.0,0,0
2,0,0,4,0,0,1,169,2018,5,25,1,0,0,0,123.25,0,1
2,0,2,2,0,0,0,250,2018,12,30,1,0,0,0,84.15,2,1
2,0,1,2,1,0,0,56,2018,5,13,1,0,0,0,116.1,1,0
2,0,2,2,0,0,0,1,2018,2,28,1,0,0,0,70.0,0,1
3,0,2,5,0,0,1,142,2018,6,28,1,0,0,0,122.84,1,0
2,0,3,9,0,0,1,52,2018,10,10,1,0,0,0,139.5,0,1
2,1,2,5,0,0,0,260,2018,10,22,1,0,0,0,108.68,3,0
2,0,2,2,1,1,0,40,2018,9,9,1,0,0,0,134.1,1,0
2,2,0,1,0,0,3,99,2018,6,11,1,0,0,0,198.9,2,0
2,0,0,3,0,0,0,148,2018,5,5,1,0,0,0,105.3,0,0
2,0,1,2,1,0,0,40,2018,11,18,1,0,0,0,67.76,1,0
2,0,2,1,1,0,0,95,2018,4,3,1,0,0,0,76.5,0,0
2,0,1,1,0,0,0,9,2017,10,31,1,0,0,0,87.0,1,0
2,0,0,2,0,0,1,77,2018,9,16,1,0,0,0,149.4,1,0
1,0,0,1,0,0,0,8,2017,11,26,1,0,0,0,62.37,0,0
2,0,1,3,0,0,1,21,2018,10,10,1,0,0,0,164.0,2,0
2,0,0,2,0,0,0,122,2018,4,15,0,0,0,0,85.0,0,1
2,0,1,2,2,0,0,418,2018,9,26,0,0,0,0,107.0,0,1
2,2,0,2,0,0,1,10,2018,8,5,1,0,0,0,186.0,1,0
1,0,0,1,0,0,0,19,2017,10,27,2,0,0,0,95.0,1,0
